bbref_name,bbref_id,nba_name,nba_id
Skylar Mays,mayssk01,Skylar Mays,1630219
Miles McBride,mcbrimi01,Miles McBride,1630540
Mac McClung,mccluma01,Mac McClung,1630644
CJ McCollum,mccolcj01,CJ McCollum,203468
T.J. McConnell,mccontj01,T.J. McConnell,204456
Jalen McDaniels,mcdanja01,Jalen McDaniels,1629667
Jaden McDaniels,mcdanja02,Jaden McDaniels,1630183
JaVale McGee,mcgeeja01,JaVale McGee,201580
Bryce McGowens,mcgowbr01,Bryce McGowens,1631121
Rodney McGruder,mcgruro01,Rodney McGruder,203585
Jordan McLaughlin,mclaujo01,Jordan McLaughlin,1629162
De'Anthony Melton,meltode01,De'Anthony Melton,1629001
Sam Merrill,merrisa01,Sam Merrill,1630241
Chimezie Metu,metuch01,Chimezie Metu,1629002
Khris Middleton,middlkh01,Khris Middleton,203114
Patty Mills,millspa02,Patty Mills,201988
Shake Milton,miltosh01,Shake Milton,1629003
Justin Minaya,minayju01,Justin Minaya,1631303
Josh Minott,minotjo01,Josh Minott,1631169
Davion Mitchell,mitchda01,Davion Mitchell,1630558
Donovan Mitchell,mitchdo01,Donovan Mitchell,1628378
Evan Mobley,mobleev01,Evan Mobley,1630596
Isaiah Mobley,mobleis01,Isaiah Mobley,1630600
Chima Moneke,monekch01,Chima Moneke,1631320
Malik Monk,monkma01,Malik Monk,1628370
Moses Moody,moodymo01,Moses Moody,1630541
Xavier Moon,moonxa01,Xavier Moon,1629875
Wendell Moore Jr.,moorewe01,Wendell Moore Jr.,1631111
Ja Morant,moranja01,Ja Morant,1629630
Markieff Morris,morrima02,Markieff Morris,202693
Monte Morris,morrimo01,Monte Morris,1628420
Trey Murphy III,murphtr02,Trey Murphy III,1630530
Dejounte Murray,murrade01,Dejounte Murray,1627749
Jamal Murray,murraja01,Jamal Murray,1627750
Keegan Murray,murrake02,Keegan Murray,1631099
Mike Muscala,muscami01,Mike Muscala,203488
Svi Mykhailiuk,mykhasv01,Svi Mykhailiuk,1629004
Larry Nance Jr.,nancela02,Larry Nance Jr.,1626204
Andrew Nembhard,nembhan01,Andrew Nembhard,1629614
Aaron Nesmith,nesmiaa01,Aaron Nesmith,1630174
Raul Neto,netora01,Raul Neto,203526
Georges Niang,niangge01,Georges Niang,1627777
Daishen Nix,nixda01,Daishen Nix,1630227
Zeke Nnaji,nnajize01,Zeke Nnaji,1630192
Nerlens Noel,noelne01,Nerlens Noel,203457
Jaylen Nowell,nowelja01,Jaylen Nowell,1629669
Frank Ntilikina,ntilila01,Frank Ntilikina,1628373
Kendrick Nunn,nunnke01,Kendrick Nunn,1629134
Jordan Nwora,nworajo01,Jordan Nwora,1629670
Chuma Okeke,okekech01,Chuma Okeke,1629643
Josh Okogie,okogijo01,Josh Okogie,1629006
Onyeka Okongwu,okongon01,Onyeka Okongwu,1630168
Isaac Okoro,okorois01,Isaac Okoro,1630171
KZ Okpala,okpalkz01,KZ Okpala,1629644
Victor Oladipo,oladivi01,Victor Oladipo,203506
Kelly Olynyk,olynyke01,Kelly Olynyk,203482
Eugene Omoruyi,omorueu01,Eugene Omoruyi,1630647
Royce O'Neale,onealro01,Royce O'Neale,1626220
Cedi Osman,osmande01,Cedi Osman,1626224
Kelly Oubre Jr.,oubreke01,Kelly Oubre Jr.,1626162
Chris Paul,paulch01,Chris Paul,101108
Cameron Payne,payneca01,Cameron Payne,1626166
Gary Payton II,paytoga02,Gary Payton II,1627780
Theo Pinson,pinsoth01,Theo Pinson,1629033
Scotty Pippen Jr.,pippesc02,Scotty Pippen Jr.,1630590
Mason Plumlee,plumlma01,Mason Plumlee,203486
Jakob Poeltl,poeltja01,Jakob Poeltl,1627751
Aleksej Pokusevski,pokusal01,Aleksej Pokusevski,1630197
Jordan Poole,poolejo01,Jordan Poole,1629673
Kevin Porter Jr.,porteke02,Kevin Porter Jr.,1629645
Michael Porter Jr.,portemi01,Michael Porter Jr.,1629008
Otto Porter Jr.,porteot01,Otto Porter Jr.,203490
Bobby Portis,portibo01,Bobby Portis,1626171
Micah Potter,pottemi01,Micah Potter,1630695
Dwight Powell,poweldw01,Dwight Powell,203939
Norman Powell,powelno01,Norman Powell,1626181
Jason Preston,prestja01,Jason Preston,1630554
Joshua Primo,primojo01,Joshua Primo,1630563
Taurean Prince,princta02,Taurean Prince,1627752
Payton Pritchard,pritcpa01,Payton Pritchard,1630202
Trevelin Queen,queentr01,Trevelin Queen,1630243
Neemias Queta,quetane01,Neemias Queta,1629674
Immanuel Quickley,quickim01,Immanuel Quickley,1630193
Lester Quinones,quinole01,Lester Quinones,1631311
Julius Randle,randlju01,Julius Randle,203944
Austin Reaves,reaveau01,Austin Reaves,1630559
Cam Reddish,reddica01,Cam Reddish,1629629
Davon Reed,reedda01,Davon Reed,1628432
Paul Reed,reedpa01,Paul Reed,1630194
Naz Reid,reidna01,Naz Reid,1629675
